	primaryName	first	last	first.c	last.c	first.l	last.l	bigram	wv.exists
9610	Mari Tere Aceña	Mari	Tere Aceña	4	10.0	mari	tere aceña	mari_tere aceña	False
9611	María Luisa Aceña	María	Luisa Aceña	5	11.0	maría	luisa aceña	maría_luisa aceña	False
9612	Milan Achac	Milan	Achac	5	5.0	milan	achac	milan_achac	False
9613	Fanny Achache	Fanny	Achache	5	7.0	fanny	achache	fanny_achache	False
9614	Jean Achache	Jean	Achache	4	7.0	jean	achache	jean_achache	False
9615	Ann M. Achacoso	Ann	M. Achacoso	3	11.0	ann	m. achacoso	ann_m. achacoso	False
9616	Ding Achacoso	Ding	Achacoso	4	8.0	ding	achacoso	ding_achacoso	False
9617	Said Achaibou	Said	Achaibou	4	8.0	said	achaibou	said_achaibou	False
9618	Doudja Achaichi	Doudja	Achaichi	6	8.0	doudja	achaichi	doudja_achaichi	False
9619	Heikki Arala	Heikki	Arala	6	5.0	heikki	arala	heikki_arala	False
9620	Achankunju	Achankunju		10		achankunju			False
9621	Eduardo Achar	Eduardo	Achar	7	5.0	eduardo	achar	eduardo_achar	False
9622	Mauricio Achar	Mauricio	Achar	8	5.0	mauricio	achar	mauricio_achar	False
9623	Ravi Achar	Ravi	Achar	4	5.0	ravi	achar	ravi_achar	False
9624	Basile Achara	Basile	Achara	6	6.0	basile	achara	basile_achara	False
9625	Laurent Achard	Laurent	Achard	7	6.0	laurent	achard	laurent_achard	False
9626	Marcel Achard	Marcel	Achard	6	6.0	marcel	achard	marcel_achard	False
9627	Marie-Claire Achard	Marie-Claire	Achard	12	6.0	marie-claire	achard	marie-claire_achard	False
9628	Maurice Achard	Maurice	Achard	7	6.0	maurice	achard	maurice_achard	False
9629	Olivier Achard	Olivier	Achard	7	6.0	olivier	achard	olivier_achard	False
9630	Paul Achard	Paul	Achard	4	6.0	paul	achard	paul_achard	False
9631	Achari	Achari		6		achari			False
9632	Myriam Acharki	Myriam	Acharki	6	7.0	myriam	acharki	myriam_acharki	False
9633	Smita Acharyya	Smita	Acharyya	5	8.0	smita	acharyya	smita_acharyya	False
9634	Acharya	Acharya		7		acharya			False
9635	B. Vittalacharya	B.	Vittalacharya	2	13.0	b.	vittalacharya	b._vittalacharya	False
9636	Gunwantrai Acharya	Gunwantrai	Acharya	10	7.0	gunwantrai	acharya	gunwantrai_acharya	False
9637	Indira Acharya	Indira	Acharya	6	7.0	indira	acharya	indira_acharya	False
9638	N.R. Acharya	N.R.	Acharya	4	7.0	n.r.	acharya	n.r._acharya	False
9639	Rajeev Acharya	Rajeev	Acharya	6	7.0	rajeev	acharya	rajeev_acharya	False
9640	S.V.R. Acharya	S.V.R.	Acharya	6	7.0	s.v.r.	acharya	s.v.r._acharya	False
9641	Jörg Achatz	Jörg	Achatz	4	6.0	jörg	achatz	jörg_achatz	False
9642	Maximilian Achatz	Maximilian	Achatz	10	6.0	maximilian	achatz	maximilian_achatz	False
9643	Allison Achauer	Allison	Achauer	7	7.0	allison	achauer	allison_achauer	False
9644	Isabel Achaval	Isabel	Achaval	6	7.0	isabel	achaval	isabel_achaval	False
9645	Carl Ludwig Achaz-Duisberg	Carl	Ludwig Achaz-Duisberg	4	21.0	carl	ludwig achaz-duisberg	carl_ludwig achaz-duisberg	False
9646	Francine Achbar	Francine	Achbar	8	6.0	francine	achbar	francine_achbar	False
9647	Mark Achbar	Mark	Achbar	4	6.0	mark	achbar	mark_achbar	False
9648	Dalal Achcar	Dalal	Achcar	5	6.0	dalal	achcar	dalal_achcar	False
9649	Mariana Achcar	Mariana	Achcar	7	6.0	mariana	achcar	mariana_achcar	False
9650	Anna Condo	Anna	Condo	4	5.0	anna	condo	anna_condo	False
9651	Patrick Achdjian	Patrick	Achdjian	7	8.0	patrick	achdjian	patrick_achdjian	False
9652	Frédéric Achdou	Frédéric	Achdou	8	6.0	frédéric	achdou	frédéric_achdou	False
9653	Claude Ache	Claude	Ache	6	4.0	claude	ache	claude_ache	False
9654	Achee	Achee		5		achee			False
9655	Lorraine Achee	Lorraine	Achee	8	5.0	lorraine	achee	lorraine_achee	False
9656	Kate Atcheson	Kate	Atcheson	4	8.0	kate	atcheson	kate_atcheson	False
9657	Don Achen	Don	Achen	3	5.0	don	achen	don_achen	False
9658	Karen Achenbach	Karen	Achenbach	5	9.0	karen	achenbach	karen_achenbach	False
9659	Amomen Achenguadi	Amomen	Achenguadi	6	10.0	amomen	achenguadi	amomen_achenguadi	False
9660	Gabriela Acher	Gabriela	Acher	8	5.0	gabriela	acher	gabriela_acher	False
9661	Stuart Acher	Stuart	Acher	6	5.0	stuart	acher	stuart_acher	False
9662	Caitlin Acheson	Caitlin	Acheson	7	7.0	caitlin	acheson	caitlin_acheson	False
9663	Dean Acheson	Dean	Acheson	4	7.0	dean	acheson	dean_acheson	False
9664	James Acheson	James	Acheson	5	7.0	james	acheson	james_acheson	False
9665	James Acheson	James	Acheson	5	7.0	james	acheson	james_acheson	False
9666	John Acheson	John	Acheson	4	7.0	john	acheson	john_acheson	False
9667	Mark Acheson	Mark	Acheson	4	7.0	mark	acheson	mark_acheson	False
9668	Gerd Achgelis	Gerd	Achgelis	4	8.0	gerd	achgelis	gerd_achgelis	False
9669	Kamaunani Achi	Kamaunani	Achi	9	4.0	kamaunani	achi	kamaunani_achi	False
9670	Sante Achilli	Sante	Achilli	5	7.0	sante	achilli	sante_achilli	False
9671	Elsa Marta Achille	Elsa	Marta Achille	4	13.0	elsa	marta achille	elsa_marta achille	False
9672	Eric Achille	Eric	Achille	4	7.0	eric	achille	eric_achille	False
9673	Louisa Achille	Louisa	Achille	6	7.0	louisa	achille	louisa_achille	False
9674	Andrea Achilles	Andrea	Achilles	6	8.0	andrea	achilles	andrea_achilles	False
9675	Damian Achilles	Damian	Achilles	6	8.0	damian	achilles	damian_achilles	False
9676	Jacques Achilles	Jacques	Achilles	7	8.0	jacques	achilles	jacques_achilles	False
9677	Monica Achilles	Monica	Achilles	6	8.0	monica	achilles	monica_achilles	False
9678	Uwe Achilles	Uwe	Achilles	3	8.0	uwe	achilles	uwe_achilles	False
9679	Carlo Achilli	Carlo	Achilli	5	7.0	carlo	achilli	carlo_achilli	False
9680	Fausto Achilli	Fausto	Achilli	6	7.0	fausto	achilli	fausto_achilli	False
9681	Pierfrancesco Achilli	Pierfrancesco	Achilli	13	7.0	pierfrancesco	achilli	pierfrancesco_achilli	False
9682	Riccardo Achilli	Riccardo	Achilli	8	7.0	riccardo	achilli	riccardo_achilli	False
9683	Toti Achilli	Toti	Achilli	4	7.0	toti	achilli	toti_achilli	False
9684	Katrin Achinger	Katrin	Achinger	6	8.0	katrin	achinger	katrin_achinger	False
9685	Francisco Achiu	Francisco	Achiu	9	5.0	francisco	achiu	francisco_achiu	False
9686	Satomi Achiwa	Satomi	Achiwa	6	6.0	satomi	achiwa	satomi_achiwa	False
9687	David Achkar	David	Achkar	5	6.0	david	achkar	david_achkar	False
9688	Elias Achkar	Elias	Achkar	5	6.0	elias	achkar	elias_achkar	False
